epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,5527.78,1.04115,0.87192,1.03735,0.61086,0.41355,0.43595,0.29778,1.15153,1.00778,1.08859,0.007129,0.007129,0.007129
147,5565.15,1.05241,0.87495,1.0469,0.63105,0.40259,0.44141,0.30294,1.14654,0.98914,1.08944,0.0071092,0.0071092,0.0071092
148,5602.3,1.05434,0.88314,1.04435,0.64966,0.39684,0.42902,0.29308,1.14232,0.99296,1.08584,0.0070894,0.0070894,0.0070894
149,5639.46,1.05641,0.88299,1.04204,0.65233,0.3979,0.4417,0.30052,1.15045,0.99846,1.09593,0.0070696,0.0070696,0.0070696
150,5676.59,1.05535,0.88093,1.03691,0.63084,0.42582,0.43777,0.29795,1.15352,0.98786,1.0942,0.0070498,0.0070498,0.0070498
151,5713.65,1.036,0.86495,1.0383,0.63612,0.39916,0.43282,0.29279,1.14872,0.99624,1.09014,0.00703,0.00703,0.00703
152,5750.65,1.03504,0.86197,1.03664,0.63529,0.41009,0.43774,0.29775,1.14838,0.99468,1.09337,0.0070102,0.0070102,0.0070102
153,5787.66,1.03291,0.8646,1.0397,0.66211,0.40021,0.43855,0.30078,1.15238,0.99056,1.09501,0.0069904,0.0069904,0.0069904
154,5824.9,1.02334,0.85099,1.0304,0.59932,0.39678,0.43178,0.29268,1.1462,0.98595,1.09057,0.0069706,0.0069706,0.0069706
155,5861.86,1.0455,0.87231,1.04439,0.64232,0.39546,0.44505,0.3068,1.14255,0.98007,1.08481,0.0069508,0.0069508,0.0069508
156,5898.97,1.03528,0.8581,1.03329,0.67026,0.42933,0.46025,0.31245,1.148,0.98744,1.08864,0.006931,0.006931,0.006931
157,5936.21,1.04114,0.85758,1.03287,0.64528,0.40688,0.4493,0.30829,1.15029,0.99197,1.09442,0.0069112,0.0069112,0.0069112
158,5973.26,1.037,0.86114,1.0322,0.49162,0.45411,0.44585,0.30785,1.14143,0.99046,1.08804,0.0068914,0.0068914,0.0068914
159,6010.22,1.01818,0.84631,1.03192,0.59965,0.42787,0.45503,0.31226,1.14745,0.99344,1.0927,0.0068716,0.0068716,0.0068716
160,6047.35,1.03986,0.86131,1.0375,0.67669,0.41002,0.4554,0.31523,1.14516,0.988,1.08792,0.0068518,0.0068518,0.0068518
161,6084.52,1.02887,0.85361,1.03195,0.62374,0.43382,0.44593,0.30663,1.14041,0.99432,1.08622,0.006832,0.006832,0.006832
162,6121.52,1.03693,0.85915,1.03317,0.60426,0.44519,0.45173,0.30889,1.14972,0.98963,1.09125,0.0068122,0.0068122,0.0068122
163,6158.53,1.04333,0.85361,1.03461,0.64509,0.41551,0.45588,0.31207,1.14245,0.99189,1.09123,0.0067924,0.0067924,0.0067924
164,6195.61,1.02156,0.85095,1.02737,0.60092,0.41661,0.4617,0.31304,1.13546,0.99555,1.08214,0.0067726,0.0067726,0.0067726
165,6232.72,1.04005,0.85199,1.03344,0.61857,0.41056,0.44283,0.30551,1.13907,0.98794,1.08453,0.0067528,0.0067528,0.0067528
166,6269.6,1.01807,0.83514,1.02738,0.67674,0.39381,0.43974,0.30081,1.13853,0.99506,1.08008,0.006733,0.006733,0.006733
167,6306.95,1.02288,0.83297,1.0259,0.70011,0.39445,0.45253,0.30895,1.13834,0.98858,1.08425,0.0067132,0.0067132,0.0067132
168,6343.94,1.0266,0.84591,1.02832,0.62752,0.42957,0.45022,0.30497,1.13638,0.99637,1.08249,0.0066934,0.0066934,0.0066934
169,6380.97,1.03052,0.84807,1.02844,0.62425,0.42081,0.45332,0.31146,1.14328,0.99917,1.08662,0.0066736,0.0066736,0.0066736
170,6418.04,1.02895,0.84671,1.02682,0.6751,0.40205,0.4551,0.31001,1.14469,1.00334,1.08714,0.0066538,0.0066538,0.0066538
171,6455.13,1.01532,0.82696,1.02877,0.65417,0.42436,0.45389,0.31138,1.1425,0.99027,1.0889,0.006634,0.006634,0.006634
172,6492.11,1.02552,0.84054,1.03021,0.66229,0.4334,0.458,0.31058,1.13639,0.98843,1.08596,0.0066142,0.0066142,0.0066142
173,6529.11,1.02412,0.85135,1.02885,0.64456,0.42852,0.45724,0.31271,1.12975,0.98331,1.07773,0.0065944,0.0065944,0.0065944
174,6566.36,1.02346,0.82642,1.03204,0.61104,0.43998,0.4505,0.30351,1.14066,0.99103,1.08562,0.0065746,0.0065746,0.0065746
175,6603.53,1.01986,0.82753,1.0308,0.65045,0.41643,0.45553,0.30889,1.13775,0.98123,1.08228,0.0065548,0.0065548,0.0065548
176,6640.7,1.03192,0.83789,1.02813,0.6086,0.45119,0.45609,0.30719,1.1346,0.97435,1.07751,0.006535,0.006535,0.006535
177,6677.75,1.02363,0.83379,1.02502,0.70626,0.40645,0.46588,0.3186,1.14109,0.97003,1.08384,0.0065152,0.0065152,0.0065152
178,6714.87,1.0178,0.82703,1.02186,0.65958,0.458,0.4721,0.3197,1.13545,0.97895,1.08094,0.0064954,0.0064954,0.0064954
179,6751.79,1.01011,0.82926,1.02657,0.69084,0.41252,0.45552,0.31322,1.14053,0.97873,1.08548,0.0064756,0.0064756,0.0064756
180,6789.05,1.01265,0.82071,1.02225,0.57215,0.42996,0.44889,0.31136,1.14214,0.97908,1.08534,0.0064558,0.0064558,0.0064558
181,6826.21,1.00989,0.82011,1.02065,0.57933,0.41408,0.44634,0.3024,1.14447,0.98572,1.08849,0.006436,0.006436,0.006436
182,6863.19,1.00813,0.81728,1.02024,0.65443,0.39912,0.44586,0.30386,1.14204,0.98938,1.08387,0.0064162,0.0064162,0.0064162
183,6900.34,1.01295,0.8275,1.02125,0.60523,0.44123,0.44908,0.30678,1.13906,0.9842,1.08293,0.0063964,0.0063964,0.0063964
